epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,766.342,1.22718,0.90398,1.70635,0.88256,0.70293,0.7467,0.35647,2.00899,1.22503,3.03981,0.000472297,0.000472297,0.000472297
2,817.155,1.15645,0.86977,1.62411,0.84875,0.68375,0.73168,0.39067,1.76815,1.26874,2.49174,0.000939239,0.000939239,0.000939239
3,870.48,1.2021,0.95114,1.66455,0.79965,0.70012,0.70958,0.352,1.90762,1.26114,2.73218,0.00139675,0.00139675,0.00139675
4,921.344,1.20198,0.94901,1.66881,0.80853,0.67282,0.68935,0.32855,2.00236,1.2947,2.88905,0.00138656,0.00138656,0.00138656
5,974.705,1.20122,0.97216,1.66396,0.8262,0.68405,0.73532,0.39061,1.77473,1.36332,2.59766,0.00137241,0.00137241,0.00137241
6,1025.92,1.18212,0.93971,1.65036,0.79865,0.66636,0.7192,0.35834,1.8258,1.28775,2.66032,0.00135826,0.00135826,0.00135826
7,1078.91,1.16324,0.94043,1.63428,0.74468,0.66427,0.66304,0.34454,1.8423,1.57157,2.64836,0.00134412,0.00134412,0.00134412
8,1130.09,1.17273,0.93085,1.64439,0.85924,0.66624,0.73238,0.37721,1.83314,1.25666,2.72332,0.00132997,0.00132997,0.00132997
9,1182.5,1.13774,0.91337,1.62385,0.78914,0.68058,0.67557,0.35679,1.79591,1.34296,2.58561,0.00131582,0.00131582,0.00131582
10,1233.53,1.15713,0.92763,1.63978,0.74454,0.69757,0.68822,0.31085,1.94581,1.4278,2.65552,0.00130168,0.00130168,0.00130168
11,1285.7,1.13742,0.88448,1.61899,0.7797,0.66737,0.71758,0.373,1.78141,1.18792,2.52553,0.00128753,0.00128753,0.00128753
12,1337.18,1.12275,0.89109,1.59691,0.81065,0.70521,0.694,0.3666,1.78382,1.25907,2.63781,0.00127338,0.00127338,0.00127338
13,1388.32,1.10965,0.87769,1.58833,0.72612,0.6545,0.63667,0.31071,1.89967,1.55935,2.83627,0.00125923,0.00125923,0.00125923
14,1439.4,1.11494,0.87765,1.59655,0.80845,0.72291,0.73472,0.38322,1.80451,1.25975,2.51044,0.00124509,0.00124509,0.00124509
15,1489.29,1.11113,0.86113,1.58935,0.81914,0.6947,0.69174,0.37497,1.82942,1.2049,2.69592,0.00123094,0.00123094,0.00123094
