epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.722,0.87769,0.75742,1.41065,0.87596,0.72664,0.77321,0.43668,1.71248,1.00312,2.60715,0.000474373,0.000474373,0.000474373
2,184.023,0.81517,0.67357,1.35931,0.88664,0.72525,0.77048,0.44186,1.67343,0.99632,2.4572,0.000941294,0.000941294,0.000941294
3,258.742,0.82833,0.69106,1.3756,0.86118,0.69233,0.76741,0.41852,1.71307,1.11964,2.51473,0.00139878,0.00139878,0.00139878
4,333.63,0.84757,0.68713,1.38588,0.84182,0.66563,0.77102,0.42715,1.66595,1.12606,2.32676,0.00138656,0.00138656,0.00138656
5,408.979,0.83955,0.68928,1.37159,0.81405,0.63948,0.75334,0.43175,1.64846,1.21574,2.34874,0.00137241,0.00137241,0.00137241
6,483.169,0.81677,0.67784,1.35558,0.8125,0.69748,0.77628,0.43888,1.62323,0.9388,2.34459,0.00135826,0.00135826,0.00135826
7,556.904,0.82046,0.68069,1.36224,0.84798,0.78024,0.80281,0.43814,1.59836,0.93242,2.38894,0.00134412,0.00134412,0.00134412
8,630.845,0.80626,0.6672,1.35194,0.849,0.71319,0.74488,0.41246,1.66813,1.06899,2.49886,0.00132997,0.00132997,0.00132997
9,706.616,0.81858,0.6716,1.35932,0.82504,0.75717,0.79859,0.433,1.70811,1.00129,2.42944,0.00131582,0.00131582,0.00131582
10,779.87,0.80102,0.65342,1.34032,0.85151,0.71845,0.78918,0.44502,1.60685,0.94584,2.35794,0.00130168,0.00130168,0.00130168
11,853.542,0.7983,0.63993,1.33804,0.87528,0.73101,0.74751,0.43166,1.56626,1.1247,2.36754,0.00128753,0.00128753,0.00128753
12,927.467,0.78747,0.64003,1.3401,0.89281,0.72704,0.79509,0.46632,1.57924,0.91465,2.29253,0.00127338,0.00127338,0.00127338
13,1003.92,0.7894,0.62245,1.33018,0.90062,0.76379,0.79919,0.45411,1.59526,0.89961,2.33542,0.00125923,0.00125923,0.00125923
14,1076.98,0.78469,0.61508,1.33114,0.85353,0.76164,0.80889,0.42888,1.70211,0.98306,2.42235,0.00124509,0.00124509,0.00124509
15,1150.13,0.77407,0.62163,1.32039,0.79996,0.72571,0.74626,0.42032,1.59282,1.05596,2.3593,0.00123094,0.00123094,0.00123094
16,1223.46,0.75997,0.61325,1.30919,0.83325,0.75107,0.80036,0.44024,1.67877,0.9315,2.44423,0.00121679,0.00121679,0.00121679
17,1297.46,0.75822,0.60458,1.31354,0.87928,0.74113,0.79217,0.44308,1.65469,0.98157,2.35605,0.00120265,0.00120265,0.00120265
18,1372.13,0.76259,0.59432,1.31066,0.82802,0.73266,0.76614,0.41517,1.65704,0.9812,2.46953,0.0011885,0.0011885,0.0011885
19,1445.74,0.74769,0.58374,1.29699,0.84812,0.75022,0.75071,0.41371,1.64016,0.95608,2.46003,0.00117435,0.00117435,0.00117435
20,1519.6,0.74901,0.58409,1.30584,0.86095,0.76118,0.78717,0.44037,1.67174,0.9545,2.36064,0.00116021,0.00116021,0.00116021
21,1593.27,0.74235,0.57331,1.29481,0.88801,0.72311,0.75787,0.43263,1.6653,1.03383,2.55868,0.00114606,0.00114606,0.00114606
