epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.409,1.10134,2.08436,1.54508,0.60561,0.59133,0.61402,0.30228,1.5874,1.97532,2.5442,0.000474835,0.000474835,0.000474835
2,236.142,1.11667,1.48593,1.5483,0.58165,0.52565,0.55121,0.27085,1.67499,1.82474,2.50224,0.000941752,0.000941752,0.000941752
3,338.6,1.13678,1.3397,1.56181,0.63083,0.58942,0.61727,0.29233,1.74153,1.64835,2.49767,0.00139924,0.00139924,0.00139924
4,441.395,1.12997,1.25904,1.55333,0.47061,0.5115,0.46575,0.23198,1.75442,1.93112,2.77039,0.00138656,0.00138656,0.00138656
5,543.409,1.0951,1.16971,1.52276,0.75699,0.6434,0.7313,0.38243,1.61587,1.34169,2.41589,0.00137241,0.00137241,0.00137241
6,646.297,1.06598,1.09237,1.50769,0.65149,0.7055,0.70344,0.32752,1.685,1.43692,2.329,0.00135826,0.00135826,0.00135826
7,749.635,1.02661,1.02672,1.47533,0.74942,0.67948,0.70677,0.36762,1.60289,1.4168,2.25036,0.00134412,0.00134412,0.00134412
8,852.055,1.0309,1.00426,1.47497,0.84549,0.78725,0.81405,0.45843,1.58032,1.0094,2.2229,0.00132997,0.00132997,0.00132997
9,954.932,1.02036,1.00038,1.46492,0.73304,0.74948,0.76692,0.42251,1.60247,1.10032,2.2934,0.00131582,0.00131582,0.00131582
10,1058.23,0.99393,0.93489,1.44388,0.82886,0.72823,0.81243,0.46234,1.5203,0.99169,2.18143,0.00130168,0.00130168,0.00130168
11,1162.71,0.9927,0.92604,1.44256,0.76447,0.74418,0.79381,0.42118,1.66118,1.10031,2.39312,0.00128753,0.00128753,0.00128753
12,1265.72,0.98501,0.89984,1.43631,0.87437,0.76382,0.81885,0.45493,1.56577,1.07365,2.39122,0.00127338,0.00127338,0.00127338
13,1369.26,0.97809,0.90427,1.42642,0.80359,0.80826,0.81416,0.45795,1.58345,1.01022,2.31377,0.00125923,0.00125923,0.00125923
14,1471.97,0.96889,0.86782,1.42264,0.82351,0.76798,0.83343,0.47614,1.52208,0.95044,2.24064,0.00124509,0.00124509,0.00124509
15,1574.97,0.9619,0.84331,1.41641,0.86067,0.81598,0.84257,0.50798,1.49105,0.90692,2.08825,0.00123094,0.00123094,0.00123094
16,1679.01,0.95031,0.82605,1.40344,0.90694,0.78467,0.84712,0.49907,1.50025,0.89552,2.25521,0.00121679,0.00121679,0.00121679
17,1780.81,0.95554,0.82277,1.40384,0.87277,0.80648,0.83238,0.47969,1.55217,0.92498,2.2271,0.00120265,0.00120265,0.00120265
18,1882.53,0.94739,0.80887,1.40299,0.88074,0.77203,0.83887,0.47062,1.52686,0.86575,2.25241,0.0011885,0.0011885,0.0011885
19,1984.53,0.92508,0.79711,1.39185,0.90278,0.79598,0.87085,0.50375,1.46118,0.85655,2.03568,0.00117435,0.00117435,0.00117435
20,2086.27,0.93266,0.77955,1.38964,0.81531,0.79918,0.85898,0.51149,1.47929,0.96104,2.04808,0.00116021,0.00116021,0.00116021
21,2191.21,0.92199,0.77476,1.37279,0.88841,0.80851,0.86539,0.50127,1.53189,0.8268,2.2054,0.00114606,0.00114606,0.00114606
22,2294.3,0.91987,0.76509,1.37586,0.87446,0.82433,0.84214,0.48378,1.51948,0.90347,2.24025,0.00113191,0.00113191,0.00113191
